key,Sentence,checked
0,"మంచు విష్ణు గతంలో దేనికైనా రెడీ సినిమాలో కనిపించినట్టుగానే ఈ సినిమాలోనూ కనిపించాడు.
",2
1,"దాదాపుగా అదే తరహా లుక్‌, క్యారెక్టరైజేషన్‌తో ఆకట్టుకునే ప్రయత్నం  చేశాడు.
",1
2,"తన పరిథి మేరకు కృష్ణమాచారి పాత్రకు న్యాయం చేశాడు.
",1
3,"ముఖ్యంగా యాక్షన్‌ సీన్స్‌లో మంచు విష్ణు పర్ఫామెన్స్‌ ఆకట్టుకుంటుంది.
",1
4,"సీనియర్‌ నటుడు బ్రహ్మానందం తనకు అలవాటైన పాత్రలో మెప్పించారు.
",1
5,"బ్రాహ్మాణుడి పాత్రలు చేయటం బ్రహ్మీకి కొట్టిన పిండి.
",0
6,"కానీ బ్రహ్మీని పూర్తి స్థాయిలో వాడుకునే సన్నివేశాలు సినిమాలో పెద్దగా కనిపించవు.
",0
7,"పెర్ఫార్మెన్స్ పరంగా చూస్తే కృష్ణమాచారిగా మంచు విష్ణు పర్ఫెక్టుగా నటించారు.
",0
8,"తన పాత్రకు పూర్తి న్యాయం చేశారు.
",0
9,"హీరోయిన్ ప్రగ్యా జైస్వాల్‌‌ నటన పరంగా తనను తాను నిరూపించుకునే సీన్లు పడక పోయినా.
",0
10,"అందంతో మెప్పించింది.
",0
11,"అనూప్‌ సింగ్‌ థాకూర్‌ తెరమీద కనిపించింది కొద్ది సేపే అయినా.
",0
12,"ఉన్నంతలో మంచి విలనిజం పండించాడు.
",0
13,"హీరో ఫ్రెండ్స్‌ ప్రభాస్‌ శ్రీను, ప్రవీణ్‌లు నవ్వించే ప్రయత్నం చేశారు.
",0
14,"ఇతర పాత్రల్లో కోటా శ్రీనివాసరావు.
",0
15,"ప్రదీప్ రావత్‌, రాజా రవీంద్ర తమ పాత్రలకు న్యాయం చేశారు.
",0
16,"విశ్లేషణ .
",0
17,"మంచు విష్ణుతో హ్యాట్రిక్‌ సక్సెస్‌ కోసం ప్రయత్నించిన జీ.
",0
18,"నాగేశ్వరరెడ్డి పెద్దగా ప్రయోగాల జోలికి వెళ్లకుండా సేఫ్‌ గేమ్‌ ఆడాడు.
",0
19,"గతంలో మంచు విష్ణుకు ఘనవిజయాన్ని అందించిన దేనికైనా రెడీ తరహాలోనే కామెడీ ఎంటర్‌టైనర్‌తో ప్రేక్షకుల ముందుకు వచ్చాడు.
",0
